id,page,image_index,phylum,taxon,filename
p072_i03,72,3,绿藻门,裂孔栅藻,p072_i03.jpg
p072_i04,72,4,绿藻门,栅藻属,p072_i04.jpg
p072_i05,72,5,绿藻门,弯曲栅藻,p072_i05.jpg
p072_i06,72,6,绿藻门,齿牙栅藻,p072_i06.jpg
p073_i01,73,1,绿藻门,丰富栅藻原变种,p073_i01.jpg
p073_i02,73,2,绿藻门,丰富栅藻原变种,p073_i02.jpg
p073_i03,73,3,绿藻门,丰富栅藻原变种,p073_i03.jpg
p073_i04,73,4,绿藻门,栅藻属,p073_i04.jpg
p073_i05,73,5,绿藻门,栅藻属,p073_i05.jpg
p073_i06,73,6,绿藻门,栅藻属,p073_i06.jpg
p074_i01,74,1,绿藻门,栅藻属,p074_i01.jpg
p074_i02,74,2,绿藻门,转板藻属,p074_i02.jpg
p074_i03,74,3,绿藻门,转板藻属,p074_i03.jpg
